CA_orbit1,CA_orbit2,CA_orbit3,CA_orbit4,CA_orbit5,CA_orbit6,CA_orbit7,CA_orbit8,CA_orbit9,CA_orbit10,CA_orbit11,CA_orbit12,CA_orbit13,CA_orbit14,CA_orbit15,CA_orbit16,CA_orbit17,CA_orbit18,CA_orbit19,CA_orbit20,CA_orbit21
1024663158.36878,1027950653.36668,1029392118.36589,1031729168.36498,1033171248.36472,1034612983.36472,1036054463.365,1037495843.36554,1038937068.36628,1046146153.37062,1047587543.37108,1052626213.37068,1054795153.36964,1056236553.36876,1057677883.36784,1059119223.36692,1060560898.36609,1067770858.36506,1076846933.37022,1083407173.37094,1088010943.36863
5550448.012772345,3999736.6397132142,1675008.9445264726,1287227.7885466528,-192631.6261381489,-513544.4765768265,-834683.2249716253,-1128726.2477448129,392683.16493014264,-1218258.1052605591,-432049.5002889572,-2380590.005109823,1978392.8792083203,1535728.1440347945,1187273.571667515,787827.9369131026,87832.98923816688,-171722.10707845507,-2125908.8692910145,-5228039.056523017,8743096.082543144
-1408821.237210835,-5520131.196506536,-3120102.0793815344,-1576107.3822771432,-433383.61732628377,-819360.2905401526,-1132471.160877625,-1402781.3630853868,-3587501.848806048,4227909.596755495,3528060.1272632666,-530929.5721150376,64095.60872900528,867513.836956263,645251.6479990464,422245.8259655435,1757950.030655904,1814144.7917979935,-2190582.5833285265,-1599059.9827572464,2219113.6242125765
1682330.084533968,-657201.3259237731,90044.6867178947,-1634827.619879483,-2566854.0690189754,-2424608.0541642555,-2198756.1507471344,-1889933.8386616528,-379243.28015613207,-852587.4195995699,358735.1934251392,1211563.1915669562,1701630.7533261024,1924226.3612951038,2233316.1805215115,2452489.2679871754,1927581.965196842,2027933.1967049588,74646.81857845394,429245.77893017436,-124037.53444508863
5968457.5004127165,6848478.312479715,3542428.5448842556,2610312.473018514,2610300.3878470985,2610326.3074670928,2610309.488684609,2610300.4442948997,3628800.772810481,4481771.711882447,3572473.368870173,2723413.3638019315,2610305.317817379,2610304.25031147,2610300.6312309727,2610300.3668770287,2610301.740572098,2726375.406646202,3053475.5152835865,5483943.575905486,9021173.964385033
1.2850535768289,1.6669073436773174,1.5453746746635033,2.2475888592077933,2.958887639553217,2.7620993923579733,2.572398243970174,2.380422305852105,1.6754967719757616,1.762197288569602,1.4702103206842887,1.1097679278018502,0.8607227754049188,0.7419303865696075,0.5441296958701228,0.34950323949625683,0.7400248841217195,0.7320283349926804,1.5463473815113167,1.4924429857470558,1.5845463601624352
-0.2485718171856676,-0.9437682407454766,-1.0781095528637294,-0.8859471338571051,-1.9890528050813256,-2.130662205154863,-2.2059551311521925,-2.248356787698378,-1.4617716940798455,1.8513433535631338,1.692650530971698,-2.922159443644897,0.03238648814530161,0.5142013610120335,0.49781860824819685,0.49200162125202584,1.5208745370814976,1.6651724594268593,-2.3412126754707447,-2.8447663293692758,0.24856437088531919
