Orbit,theta (CPhio),phi (CPhiO),phi (JSO),z (SIII Mag),phi (IAU_SUN),psi (Day-Night)
1,76.82590196,79.15049531,153.1581752,3.158816184,102.2419581,39.87997816
2,87.97353291,-99.65492302,-172.9641688,-3.460727649,147.3167923,176.8857279
3,85.46552793,79.90715388,-165.5004878,-3.106962396,-116.4991527,6.24716498
4,90.79910225,77.51453251,-116.0973583,-1.885985894,62.75465998,51.54868855
5,92.35172012,108.2489242,-1.965595313,-4.250752776,-22.63938366,163.8755214
6,90,109.0645474,1.215777115,1.0016548,87.66826607,159.6822116
7,76.40318968,105.0648351,72.64007525,-2.413465967,140.8587525,91.64112678
