,theta (CPhio),phi (CPhiO),phi (JSO),z (SIII Mag),phi (SIII),phi (IAU_SUN),psi (Day-Night)
0,76.00855628746972,-20.576458446815025,-173.16818789006334,-3.7873748498128044,-47.462503909191476,95.05738752108466,103.62830071013796
1,96.43438693669047,-159.77710124097013,-74.45868355579584,-1.4646341760634756,50.85627813600877,-81.42009647801564,143.71978617179508
2,89.17583269417821,-165.5921041824685,-75.99807175074285,-2.755160269712653,-72.95344417716234,43.357117386209985,151.74531962319446
3,129.9909092468345,-16.945451919184038,144.01747575529268,-3.8906900839244116,2.0464176365817255,21.99775355123468,127.12925584482083
4,167.63003792782803,-87.35449489326473,142.61626373169102,1.3985901570444972,-127.81268340737414,146.68417800025878,99.55961436428636
5,156.2241656806249,-88.1035744535334,141.13295612999977,2.7166243920961084,105.72513503200382,-88.56945774127419,108.29945476091197
6,145.28859100235076,-88.96923204988022,139.5848733092038,-4.228183347287668,-18.229589270711667,36.22211167328132,115.7204584038293
7,134.27225945011529,-88.8340794277821,138.0007360689951,2.3291615623065236,-141.20972840321022,161.03356181189312,122.51872547536416
8,96.00039557457731,-40.47969967767663,136.38261556748708,2.1786833783624178,97.34090378118503,-74.12614016777216,171.3331926972048
9,100.10035818299934,157.5653731862658,128.9627822976449,4.169281675886057,-179.00984461978234,-170.35559988341166,19.392749052161204
10,83.76328941215394,149.25764705962453,127.36606177249824,-0.7281513608610684,57.9182415684046,-45.52168963663371,9.057392734848689
11,60.89292244653383,71.4786866886028,-58.23166940930457,1.3312568596763636,-130.40745781871811,-147.5669760780243,101.22795299974842
12,52.13541416736775,61.8173628651144,119.49139170801068,4.474834967258547,156.0616406219516,-141.41193859140236,88.58062400531371
13,44.716428633881605,89.56340282069186,117.8819833616289,-2.455295318854361,32.89331882174397,-16.560941390502393,70.57900590635897
14,33.38249607920868,89.2648536015986,116.25039997010782,-1.4521770158420664,-89.58928479132592,108.304382198665,75.68092149476654
15,22.225863405236325,88.68585048025292,114.6126901099029,4.396245449754616,147.82382185276074,-126.82914211651085,80.68578585926137
16,41.82788708035969,150.87296600007224,113.06219690535468,-3.074799250832135,21.951691318339623,-2.0145780111637563,47.663301936449315
17,40.62205146907452,166.74802954391782,105.65178801041434,2.157160528647821,97.00062359556667,-98.16229046430995,48.28644723050627
18,88.0386205202799,-156.80544233660925,-157.2073703763619,3.383731541523317,-163.63787712933535,-138.64933088268202,135.8647703610626
19,83.93953080549706,-16.52846686745587,33.63604080213403,4.291262073243426,175.42331250448316,-128.71413039750027,106.93223939701133
20,92.27595039328814,96.61316253358315,97.59129780165964,-3.166880278175139,-61.782572020186414,-159.63831978383982,75.7533689116609
